pays,ville,code postal
FR,VALFIN SUR VALOUSE,39240
FR,LE VAUDIOUX,39300
FR,VAUX SUR POLIGNY,39800
FR,VERNANTOIS,39570
FR,LA VIEILLE LOYE,39380
FR,VILLARD SUR BIENNE,39200
FR,VILLENEUVE SOUS PYMONT,39570
FR,VILLERS FARLAY,39600
FR,VILLERS ROBERT,39120
FR,VINCELLES,39190
FR,VINCENT FROIDEVILLE,39230
FR,VIRY,39360
FR,VULVOZ,39360
FR,AIRE SUR L ADOUR,40800
FR,AMOU,40330
FR,ARBOUCAVE,40320
FR,ARENGOSSE,40110
FR,ARJUZANX,40110
FR,ARTASSENX,40090
FR,AUBAGNAN,40700
FR,BASCONS,40090
FR,BASSERCLES,40700
FR,BEYLONGUE,40370
FR,BISCARROSSE,40600
FR,BOURRIOT BERGONCE,40120
FR,CALLEN,40430
FR,CANENX ET REAUT,40090
FR,CARCARES STE CROIX,40400
FR,CASSEN,40380
FR,CASTANDET,40270
FR,CASTEL SARRAZIN,40330
FR,CAZALIS,40700
FR,COUDURES,40500
FR,DUHORT BACHEN,40800
FR,DUMES,40500
FR,GAAS,40350
FR,GAMARDE LES BAINS,40380
FR,GAUJACQ,40330
FR,GOUSSE,40465
FR,HAGETMAU,40700
FR,HAURIET,40250
FR,HONTANX,40190
FR,JOSSE,40230
FR,LABENNE,40530
FR,LEVIGNACQ,40170
FR,LUBBON,40240
FR,LUCBARDEZ ET BARGUES,40090
FR,LUE,40210
FR,LUGLON,40630
FR,LUSSAGNET,40270
FR,MANO,40410
FR,MAUVEZIN D ARMAGNAC,40240
FR,MAZEROLLES,40090
FR,MIMBASTE,40350
FR,MISSON,40290
FR,MOLIETS ET MAA,40660
FR,MAZIERES SUR BERONNE,79500
FR,MELLE,79500
FR,LA MOTHE ST HERAY,79800
FR,NIORT,79000
FR,OIRON,79100
FR,PAIZAY LE CHAPT,79170
FR,PAIZAY LE TORT,79500
FR,PAS DE JEU,79100
FR,LA PEYRATTE,79200
FR,PIOUSSAY,79110
FR,POMPAIRE,79200
FR,POUGNE HERISSON,79130
FR,PRESSIGNY,79390
FR,LA ROCHENARD,79270
FR,ROM,79120
FR,ROMANS,79260
FR,VOULMENTIN,79150
FR,ST ETIENNE LA CIGOGNE,79360
FR,ST GEORGES DE NOISNE,79400
FR,ST LAURS,79160
FR,ST LEGER DE LA MARTINIERE,79500
FR,ST MARC LA LANDE,79310
FR,ST MAXIRE,79410
FR,ST ROMANS DES CHAMPS,79230
FR,ST SYMPHORIEN,79270
FR,SCIECQ,79000
FR,SCILLE,79240
FR,SECONDIGNE SUR BELLE,79170
FR,THENEZAY,79390
FR,VANCAIS,79120
FR,LE VANNEAU IRLEAU,79270
FR,VAUSSEROUX,79420
FR,VOUHE,79310
FR,ACHEUX EN AMIENOIS,80560
FR,AILLY LE HAUT CLOCHER,80690
FR,ALLAINES,80200
FR,ARGUEL,80140
FR,ARRY,80120
FR,ATHIES,80200
FR,AVELESGES,80270
FR,BARLY,80600
FR,BEAUCAMPS LE VIEUX,80430
FR,BEAUMETZ,80370
FR,BEHEN,80870
FR,BELLEUSE,80160
FR,BERMESNIL,80140
FR,BERNATRE,80370
FR,BERTEAUCOURT LES DAMES,80850
FR,BERTRANCOURT,80560
FR,BETHENCOURT SUR SOMME,80190
FR,BETTENCOURT ST OUEN,80610
FR,BEUVRAIGNES,80700
FR,BILLANCOURT,80190
FR,LE BOISLE,80150
FR,BOISMONT,80230
FR,BONNAY,80800
FR,BOUCHON,80830
FR,BOUGAINVILLE,80540
FR,BOUSSICOURT,80500
FR,BOUTTENCOURT,80220
FR,BOUVINCOURT EN VERMANDOIS,80200
FR,BOUZINCOURT,80300
FR,BOVELLES,80540
FR,BUIRE COURCELLES,80200
FR,BUS LES ARTOIS,80560
FR,BUSSU,80200
FR,BUSSY LES DAOURS,80800
FR,BUSSY LES POIX,80290
FR,CAMBRON,80132
FR,CAMPS EN AMIENOIS,80540
FR,CANCHY,80150
FR,CARREPUIS,80700
FR,CAVILLON,80310
FR,CHAULNES,80320
FR,CHAUSSOY EPAGNY,80250
FR,LA CHAVATTE,80700
FR,CLAIRY SAULCHOIX,80540
FR,CONTY,80160
FR,COTTENCHY,80440
FR,COULLEMELLE,80250
FR,COULONVILLERS,80135
FR,COURCELLES AU BOIS,80560
FR,CREMERY,80700
FR,CRESSY OMENCOURT,80190
FR,CURCHY,80190
FR,DANCOURT POPINCOURT,80700
FR,DOMESMONT,80370
FR,DOMMARTIN,80440
FR,DOMQUEUR,80620
FR,DOMVAST,80150
FR,DRUCAT,80132
FR,L ECHELLE ST AURIN,80700
FR,EMBREVILLE,80570
FR,ENGLEBELMER,80300
FR,ENNEMAIN,80200
FR,EPAGNE EPAGNETTE,80580
FR,EPECAMPS,80370
FR,EQUANCOURT,80360
FR,MIRANDE,32300
FR,MIREPOIX,32390
FR,MONBLANC,32130
FR,MONCLAR SUR LOSSE,32300
FR,MONFERRAN PLAVES,32260
FR,MONGAUSY,32220
FR,MONGUILHEM,32240
FR,MONLAUR BERNET,32140
FR,MONLEZUN,32230
FR,MONTADET,32220
FR,MORMES,32240
FR,NOULENS,32800
FR,PANJAS,32110
FR,PEBEES,32130
FR,PERCHEDE,32460
FR,PERGAIN TAILLAC,32700
FR,PEYRUSSE GRANDE,32320
FR,PIS,32500
FR,PLIEUX,32340
FR,POMPIAC,32130
FR,POUYLEBON,32320
FR,POUY ROQUELAURE,32480
FR,PRECHAC SUR ADOUR,32160
FR,PUYCASQUIER,32120
FR,REJAUMONT,32390
FR,RISCLE,32400
FR,LA ROMIEU,32480
FR,ROQUELAURE ST AUBIN,32430
FR,SABAILLAN,32420
FR,ST ANTOINE,32340
FR,STE AURENCE CAZAUX,32300
FR,ST ELIX THEUX,32300
FR,ST GEORGES,32430
FR,ST GERMIER,32200
FR,ST LOUBE,32220
FR,ST MARTIN GIMOIS,32450
FR,ST ORENS POUY PETIT,32100
FR,ST PIERRE D AUBEZIES,32290
FR,ST PUY,32310
FR,SALLES D ARMAGNAC,32370
FR,SAMARAN,32140
FR,SANSAN,32260
FR,SARRAGUZAN,32170
FR,LA SAUVETAT,32500
FR,SAUVIMONT,32220
FR,SCIEURAC ET FLOURES,32230
FR,SEAILLES,32190
FR,SEISSAN,32260
FR,SEMBOUES,32230
FR,SEREMPUY,32120
FR,SION,32110
FR,TARSAC,32400
FR,TOUJOUSE,32240
FR,VIC FEZENSAC,32190
FR,VILLECOMTAL SUR ARROS,32730
FR,VILLEFRANCHE,32420
FR,VIOZAN,32300
FR,ARBIS,33760
FR,LES ARTIGUES DE LUSSAC,33570
FR,ARVEYRES,33500
FR,AUROS,33124
FR,AVENSAN,33480
FR,BAURECH,33880
FR,BAYON SUR GIRONDE,33710
FR,BEAUTIRAN,33640
FR,BEGADAN,33340
FR,BEGLES,33130
FR,BELIN BELIET,33830
FR,BELLEBAT,33760
FR,BERSON,33390
FR,LES BILLAUX,33500
FR,BLASIMON,33540
FR,BONZAC,33910
FR,BOSSUGAN,33350
FR,LE BOUSCAT,33110
FR,BROUQUEYRAN,33124
FR,CAMIAC ET ST DENIS,33420
FR,CAMPS SUR L ISLE,33660
FR,CASTRES GIRONDE,33640
FR,CAUDROT,33490
FR,CENAC,33360
FR,CERONS,33720
FR,COMPS,33710
FR,COUQUEQUES,33340
FR,CROIGNON,33750
FR,CUBNEZAIS,33620
FR,DAUBEZE,33540
FR,DONNEZAC,33860
FR,DONZAC,33410
FR,ESCAUDES,33840
FR,ESPIET,33420
FR,FONTET,33190
FR,FOSSES ET BALEYSSAC,33190
FR,FRANCS,33570
FR,FRONSAC,33126
FR,GANS,33430
FR,GISCOS,33840
FR,GRADIGNAN,33170
FR,GRAYAN ET L HOPITAL,33590
FR,VILLIERS LE PRE,50240
FR,VIRANDEVILLE,50690
FR,YVETOT BOCAGE,50700
FR,AMBONNAY,51150
FR,AMBRIERES,51290
FR,ARCIS LE PONSART,51170
FR,ARGERS,51800
FR,ARZILLIERES NEUVILLE,51290
FR,AULNAY L AITRE,51240
FR,AUMENANCOURT,51110
FR,AUVE,51800
FR,AVENAY VAL D OR,51160
FR,AVIZE,51190
FR,BANNAY,51270
FR,BASSU,51300
FR,BETHENIVILLE,51490
FR,BETHON,51260
FR,BLAISE SOUS ARZILLIERES,51300
FR,BOURGOGNE,51110
FR,BRANDONVILLERS,51290
FR,BRANSCOURT,51140
FR,BRAUX ST REMY,51800
FR,BROYES,51120
FR,BRUGNY VAUDANCOURT,51530
FR,LE BUISSON,51300
FR,CHAMPFLEURY,51500
FR,CHAMPGUYON,51310
FR,CHAMPIGNY,51370
FR,CHARLEVILLE,51120
FR,CHARMONT,51330
FR,CHATRICES,51800
FR,COMPERTRIX,51510
FR,CONNANTRAY VAUREFROY,51230
FR,CORBEIL,51320
FR,CORFELIX,51210
FR,CORROY,51230
FR,COULOMMES LA MONTAGNE,51390
FR,COUPEVILLE,51240
FR,COURCEMAIN,51260
FR,COURCY,51220
FR,COURLANDON,51170
FR,COURTHIEZY,51700
FR,CUMIERES,51480
FR,CUPERLY,51400
FR,DIZY,51530
FR,DOMMARTIN DAMPIERRE,51800
FR,DROSNAY,51290
FR,ECLAIRES,51800
FR,ECRIENNES,51300
FR,ECURY LE REPOS,51230
FR,ESTERNAY,51310
FR,ETREPY,51340
FR,FEREBRIANGES,51270
FR,FERE CHAMPENOISE,51230
FR,LA FORESTIERE,51120
FR,FROMENTIERES,51210
FR,GIFFAUMONT CHAMPAUBERT,51290
FR,GIVRY EN ARGONNE,51330
FR,GOURGANCON,51230
FR,LES GRANDES LOGES,51400
FR,GUEUX,51390
FR,HAUTVILLERS,51160
FR,HUIRON,51300
FR,HUMBAUVILLE,51320
FR,JONCHERY SUR VESLE,51140
FR,JONQUERY,51700
FR,LANDRICOURT,51290
FR,LEUVRIGNY,51700
FR,LOISY EN BRIE,51130
FR,LOISY SUR MARNE,51300
FR,LUDES,51500
FR,MAFFRECOURT,51800
FR,MAISONS EN CHAMPAGNE,51300
FR,MARCILLY SUR SEINE,51260
FR,MARGERIE HANCOURT,51290
FR,MARSANGIS,51260
FR,MATIGNICOURT GONCOURT,51300
FR,LE MEIX TIERCELIN,51320
FR,MINAUCOURT LE MESNIL LES HURLUS,51800
FR,MOIREMONT,51800
FR,MONTHELON,51530
FR,MORANGIS,51530
FR,MOUSSY,51530
FR,LA NEUVILLE AUX BOIS,51330
FR,LA NEUVILLE AUX LARRIS,51480
FR,OGNES,51230
FR,OIRY,51530
FR,PARGNY SUR SAULX,51340
FR,PRUNAY,51360
FR,PUISIEULX,51500
FR,QUEUDES,51120
FR,RAPSECOURT,51330
FR,REMICOURT,51330
FR,REVEILLON,51310
FR,ROMERY,51480
FR,ST CHERON,51290
FR,ST EULIEN,52100
FR,STE GEMME,51700
FR,ST HILAIRE LE GRAND,51600
FR,ST LUMIER EN CHAMPAGNE,51300
FR,AIX EN PROVENCE,13540
FR,ALLAUCH,13190
FR,ALLEINS,13980
FR,LA BOUILLADISSE,13720
FR,CARRY LE ROUET,13620
FR,CHARLEVAL,13350
FR,CHATEAURENARD,13160
FR,ISTRES,13800
FR,MARTIGUES,13117
FR,MARTIGUES,13500
FR,MAS BLANC DES ALPILLES,13103
FR,MEYRARGUES,13650
FR,MEYREUIL,13590
FR,ST PIERRE DE MEZOARGUES,13150
FR,MIRAMAS,13140
FR,NOVES,13550
FR,PARADOU,13520
FR,LA PENNE SUR HUVEAUNE,13821
FR,LES PENNES MIRABEAU,13170
FR,PEYNIER,13790
FR,PEYPIN,13124
FR,PEYROLLES EN PROVENCE,13860
FR,PORT ST LOUIS DU RHONE,13230
FR,ROQUEFORT LA BEDOULE,13830
FR,ST ANDIOL,13670
FR,ST REMY DE PROVENCE,13210
FR,ST VICTORET,13700
FR,ST VICTORET,13730
FR,SALON DE PROVENCE,13300
FR,TRETS,13530
FR,CARNOUX EN PROVENCE,13470
FR,MARSEILLE 01,13001
FR,MARSEILLE 08,13008
FR,MARSEILLE 11,13011
FR,MARSEILLE 13,13013
FR,MARSEILLE 16,13016
FR,AGY,14400
FR,AIRAN,14370
FR,AMFREVILLE,14860
FR,ANCTOVILLE,14240
FR,ARGANCHY,14400
FR,AUBIGNY,14700
FR,LES AUTHIEUX PAPION,14140
FR,AUVILLARS,14340
FR,BAYEUX,14400
FR,BAZENVILLE,14480
FR,BEAUMONT EN AUGE,14950
FR,BAUQUAY,14260
FR,BELLENGREVILLE,14370
FR,BENOUVILLE,14970
FR,SOULEUVRE EN BOCAGE,14260
FR,SOULEUVRE EN BOCAGE,14350
FR,BERNIERES SUR MER,14990
FR,BEUVILLERS,14100
FR,BONNEVILLE SUR TOUQUES,14800
FR,BOUGY,14210
FR,BOULON,14220
FR,BRETTEVILLE L ORGUEILLEUSE,14740
FR,LE BREUIL EN AUGE,14130
FR,BRUCOURT,14160
FR,LA CAINE,14210
FR,LA CAMBE,14230
FR,CAMBES EN PLAINE,14610
FR,CAMBREMER,14340
FR,CANAPVILLE,14800
FR,CANCHY,14230
FR,CASTILLON,14490
FR,CAUVICOURT,14190
FR,CAUVILLE,14770
FR,CLEVILLE,14370
FR,COLLEVILLE SUR MER,14710
FR,COMBRAY,14220
FR,CONDE SUR SEULLES,14400
FR,CORMELLES LE ROYAL,14123
FR,COULOMBS,14480
FR,CRICQUEVILLE EN AUGE,14430
FR,CUSSY,14400
FR,DAMBLAINVILLE,14620
FR,DAMPIERRE,14350
FR,DANESTAL,14430
FR,DOUVRES LA DELIVRANDE,14440
FR,DOZULE,14430
FR,ECRAMMEVILLE,14710
FR,EPRON,14610
FR,EVRECY,14210
FR,FAUGUERNON,14100
FR,FIERVILLE LES PARCS,14130
FR,LA FOLIE,14710
FR,FOURNEVILLE,14600
FR,FRESNEY LE PUCEUX,14680
FR,FUMICHON,14590
FR,MOMUY,40700
FR,MORCENX,40110
FR,MORGANX,40700
FR,MOUSCARDES,40290
FR,NERBIS,40250
FR,OEYREGAVE,40300
FR,ONESSE LAHARIE,40110
FR,ORTHEVIELLE,40300
FR,PARENTIS EN BORN,40160
FR,PECORADE,40320
FR,PEYRE,40700
FR,PISSOS,40410
FR,PONTONX SUR L ADOUR,40465
FR,POYANNE,40380
FR,PUYOL CAZALET,40320
FR,RION DES LANDES,40370
FR,ROQUEFORT,40120
FR,SABRES,40630
FR,STE COLOMBE,40700
FR,ST CRICQ DU GAVE,40300
FR,ST GEOURS D AURIBAT,40380
FR,ST JULIEN D ARMAGNAC,40240
FR,ST MAURICE SUR ADOUR,40270
FR,ST PAUL EN BORN,40200
FR,ST PIERRE DU MONT,40280
FR,SANGUINET,40460
FR,SARRON,40800
FR,SAUBION,40230
FR,SERRES GASTON,40700
FR,SINDERES,40110
FR,SORDE L ABBAYE,40300
FR,SOUSTONS,40140
FR,TALLER,40260
FR,URGONS,40320
FR,VIELLE ST GIRONS,40560
FR,VIELLE SOUBIRAN,40240
FR,VILLENAVE,40110
FR,YCHOUX,40160
FR,YGOS ST SATURNIN,40110
FR,ARVILLE,41170
FR,AUTHON,41310
FR,BILLY,41130
FR,BINAS,41240
FR,BONNEVEAU,41800
FR,BOUFFRY,41270
FR,BREVAINVILLE,41160
FR,BRIOU,41370
FR,CELLETTES,41120
FR,LA CHAPELLE MONTMARTIN,41320
FR,CHATEAUVIEUX,41110
FR,DHUIZON,41220
FR,DROUE,41270
FR,EPUISAY,41360
FR,FAYE,41100
FR,FRETEVAL,41160
FR,GIEVRES,41130
FR,HOUSSAY,41800
FR,HUISSEAU EN BEAUCE,41310
FR,HUISSEAU SUR COSSON,41350
FR,LISLE,41100
FR,LORGES,41370
FR,MARCILLY EN GAULT,41210
FR,MAREUIL SUR CHER,41110
FR,MAROLLES,41330
FR,VALENCISSE,41190
FR,MONTHOU SUR CHER,41400
FR,LES MONTILS,41120
FR,MONT PRES CHAMBORD,41250
FR,MONTRIEUX EN SOLOGNE,41210
FR,MOREE,41160
FR,MUIDES SUR LOIRE,41500
FR,MULSANS,41500
FR,PIERREFITTE SUR SAULDRE,41300
FR,LE PLESSIS L ECHELLE,41370
FR,LE POISLAY,41270
FR,ROCHES,41370
FR,ROMILLY,41270
FR,ST DYE SUR LOIRE,41500
FR,ST FIRMIN DES PRES,41100
FR,STE GEMMES,41290
FR,ST JACQUES DES GUERETS,41800
FR,ST JULIEN SUR CHER,41320
FR,ST LAURENT NOUAN,41220
FR,ST LEONARD EN BEAUCE,41370
FR,ST OUEN,41100
FR,ST SULPICE DE POMMERAY,41000
FR,SEUR,41120
FR,TERNAY,41800
FR,VIEVY LE RAYE,41290
FR,LA VILLE AUX CLERCS,41160
FR,VILLETRUN,41100
FR,YVOY LE MARRON,41600
FR,AMBIERLE,42820
FR,ANDREZIEUX BOUTHEON,42160
FR,APINAC,42550
FR,LE BESSAT,42660
FR,BOISSET LES MONTROND,42210
FR,CERVIERES,42440
FR,CHANDON,42190
FR,ERCOURT,80210
FR,ESSERTAUX,80160
FR,ETERPIGNY,80200
FR,ETRICOURT MANANCOURT,80360
FR,LA FALOISE,80250
FR,FAVEROLLES,80500
FR,FESCAMPS,80500
FR,FEUQUIERES EN VIMEU,80210
FR,FLIXECOURT,80420
FR,FLUY,80540
FR,FONTAINE SUR MAYE,80150
FR,FORT MAHON PLAGE,80120
FR,FOURDRINOY,80310
FR,FROHEN SUR AUTHIE,80370
FR,GAMACHES,80220
FR,GAUVILLE,80290
FR,GLISY,80440
FR,GREBAULT MESNIL,80140
FR,GRIVESNES,80250
FR,GROUCHES LUCHUEL,80600
FR,GUIZANCOURT,80290
FR,GUYENCOURT SAULCOURT,80240
FR,HALLENCOURT,80490
FR,HAM,80400
FR,HARBONNIERES,80131
FR,HARPONVILLE,80560
FR,HATTENCOURT,80700
FR,HEDAUVILLE,80560
FR,HESCAMPS,80290
FR,HIERMONT,80370
FR,HUMBERCOURT,80600
FR,HUPPY,80140
FR,IRLES,80300
FR,LABOISSIERE EN SANTERRE,80500
FR,LIGESCOURT,80150
FR,LIGNIERES EN VIMEU,80140
FR,LIHONS,80320
FR,LIOMER,80430
FR,LOEUILLY,80160
FR,LONGUEAU,80330
FR,MAISON PONTHIEU,80150
FR,MAISON ROLAND,80135
FR,MAIZICOURT,80370
FR,MARLERS,80290
FR,MERICOURT SUR SOMME,80340
FR,MESNIL MARTINSART,80300
FR,MESNIL ST NICAISE,80190
FR,MEZIERES EN SANTERRE,80110
FR,MILLENCOURT EN PONTHIEU,80135
FR,MIRAUMONT,80300
FR,MISERY,80320
FR,MONTAUBAN DE PICARDIE,80300
FR,MONTDIDIER,80500
FR,MONTIGNY SUR L HALLUE,80260
FR,MONTONVILLERS,80260
FR,FIEFFES MONTRELET,80670
FR,MORVILLERS ST SATURNIN,80290
FR,MOUFLERS,80690
FR,NAOURS,80260
FR,NESLETTE,80140
FR,NEUILLY LE DIEN,80150
FR,NEUILLY L HOPITAL,80132
FR,NEUVILLETTE,80600
FR,NOUVION,80860
FR,NOYELLES SUR MER,80860
FR,NURLU,80240
FR,OFFIGNIES,80290
FR,ORESMAUX,80160
FR,OUST MAREST,80460
FR,PLACHY BUYON,80160
FR,POIX DE PICARDIE,80290
FR,POULAINVILLE,80260
FR,PROUVILLE,80370
FR,PROUZEL,80160
FR,PYS,80300
FR,QUIRY LE SEC,80250
FR,REMAUGIES,80500
FR,ROIGLISE,80700
FR,RONSSOY,80740
FR,ROUY LE GRAND,80190
FR,SAILLY FLIBEAUCOURT,80970
FR,SAILLY SAILLISEL,80360
FR,ST MAULVIS,80140
FR,ST RIQUIER,80135
FR,ST SAUFLIEU,80160
FR,SAISSEVAL,80540
FR,SAULCHOY SOUS POIX,80290
FR,SAVEUSE,80470
FR,SENARPONT,80140
FR,SEUX,80540
FR,SOREL EN VIMEU,80490
FR,SOUES,80310
FR,SUZANNE,80340
FR,TEMPLEUX LE GUERARD,80240
FR,TINCOURT BOUCLY,80240
FR,LE TITRE,80132
FR,VAUVILLERS,80131
FR,VILLEROY,80140
FR,VILLERS SOUS AILLY,80690
FR,VILLERS TOURNELLE,80500
FR,HOURTIN,33990
FR,JUGAZAN,33420
FR,LACANAU,33680
FR,LAMARQUE,33460
FR,LANDERROUET SUR SEGUR,33540
FR,LANGOIRAN,33550
FR,LANGON,33210
FR,LARTIGUE,33840
FR,LATRESNE,33360
FR,LEOGNAN,33850
FR,LESTIAC SUR GARONNE,33550
FR,LES LEVES ET THOUMEYRAGUES,33220
FR,LIBOURNE,33500
FR,LORMONT,33310
FR,LOUCHATS,33125
FR,LUGAIGNAC,33420
FR,MACAU,33460
FR,MARGAUX,33460
FR,MARSAS,33620
FR,MARTIGNAS SUR JALLE,33127
FR,MAZERES,33210
FR,MAZION,33390
FR,MIOS,33380
FR,MONTAGNE,33570
FR,MONTUSSAN,33450
FR,NAUJAN ET POSTIAC,33420
FR,NERIGEAN,33750
FR,NEUFFONS,33580
FR,NOAILLAN,33730
FR,PAREMPUYRE,33290
FR,PERISSAC,33240
FR,LE PIAN SUR GARONNE,33490
FR,PINEUILH,33220
FR,POMEROL,33500
FR,PREIGNAC,33210
FR,PUGNAC,33710
FR,PUJOLS SUR CIRON,33210
FR,RAUZAN,33420
FR,RUCH,33350
FR,SABLONS,33910
FR,ST ANDRE ET APPELLES,33220
FR,ST AVIT ST NAZAIRE,33220
FR,ST BRICE,33540
FR,ST CHRISTOPHE DES BARDES,33330
FR,ST CIERS SUR GIRONDE,33820
FR,ST FELIX DE FONCAUDE,33540
FR,STE FLORENCE,33350
FR,STE FOY LA LONGUE,33490
FR,STE GEMME,33580
FR,ST GERMAIN DU PUCH,33750
FR,ST GIRONS D AIGUEVIVES,33920
FR,ST LAURENT DES COMBES,33330
FR,ST LAURENT DU BOIS,33540
FR,ST LOUBES,33450
FR,ST MARTIN LACAUSSADE,33390
FR,ST MARTIN DU BOIS,33910
FR,ST MEDARD DE GUIZIERES,33230
FR,ST MICHEL DE LAPUJADE,33190
FR,ST PARDON DE CONQUES,33210
FR,ST PEY DE CASTETS,33350
FR,ST PIERRE DE BAT,33760
FR,ST QUENTIN DE BARON,33750
FR,ST QUENTIN DE CAPLONG,33220
FR,ST ROMAIN LA VIRVEE,33240
FR,ST SAUVEUR,33250
FR,ST SAVIN,33920
FR,ST SELVE,33650
FR,ST SEURIN DE BOURG,33710
FR,ST SEURIN DE CADOURNE,33180
FR,ST SEVE,33190
FR,ST VINCENT DE PERTIGNAS,33420
FR,ST YZAN DE SOUDIAC,33920
FR,SAMONAC,33710
FR,SAUTERNES,33210
FR,SOUSSAC,33790
FR,LE TAILLAN MEDOC,33320
FR,LE TEICH,33470
FR,LE TEMPLE,33680
FR,LA TESTE DE BUCH,33260
FR,TIZAC DE CURTON,33420
FR,TRESSES,33370
FR,ABEILHAN,34290
FR,AGEL,34210
FR,ASPIRAN,34800
FR,AVENE,34260
FR,BALARUC LE VIEUX,34540
FR,BERLOU,34360
FR,BOISSERON,34160
FR,BOUJAN SUR LIBRON,34760
FR,LE BOUSQUET D ORB,34260
FR,CASTANET LE HAUT,34610
FR,CASTELNAU LE LEZ,34170
FR,CAZOULS D HERAULT,34120
FR,CELLES,34700
FR,CLERMONT L HERAULT,34800
FR,COMBES,34240
FR,COURNONTERRAL,34660
FR,LE CRES,34920
FR,FERRALS LES MONTAGNES,34210
FR,ST MARD SUR AUVE,51800
FR,ST MARD LES ROUFFY,51130
FR,STE MARIE A PY,51600
FR,ST MARTIN AUX CHAMPS,51240
FR,ST MEMMIE,51470
